cohort_id,wikidata_id,person_id,name,occupation_id,occupation_label,occupation_wikidata_url,is_writerly_occupation,is_nonwriter_occupation,granular_bucket,bucket_family,manual_review_status,bucket_method
french_seed,http://www.wikidata.org/entity/Q21406125,Q21406125,A.-M. Lafortelle,Q214917,dramaturge,https://www.wikidata.org/wiki/Q214917,True,False,Writing / Literature,Literary and textual production,suggested,exact_qid:playwright
french_seed,http://www.wikidata.org/entity/Q311480,Q311480,Abbé Prévost,Q201788,historien ou historienne,https://www.wikidata.org/wiki/Q201788,False,True,Education / Scholarship / Humanities,Intellectual systems,suggested,exact_qid:historian
french_seed,http://www.wikidata.org/entity/Q311480,Q311480,Abbé Prévost,Q1930187,journaliste,https://www.wikidata.org/wiki/Q1930187,True,False,Print / Publishing / Journalism,Literary and textual production,suggested,exact_qid:journalist
french_seed,http://www.wikidata.org/entity/Q311480,Q311480,Abbé Prévost,Q42603,prêtre,https://www.wikidata.org/wiki/Q42603,False,True,Religion / Theology,Intellectual systems,suggested,label_rule:pretre
french_seed,http://www.wikidata.org/entity/Q311480,Q311480,Abbé Prévost,Q333634,traducteur ou traductrice,https://www.wikidata.org/wiki/Q333634,False,True,Translation / Philology / Languages,Literary and textual production,suggested,exact_qid:translator
french_seed,http://www.wikidata.org/entity/Q311480,Q311480,Abbé Prévost,Q6625963,romancier ou romancière,https://www.wikidata.org/wiki/Q6625963,True,False,Writing / Literature,Literary and textual production,suggested,exact_qid:novelist
french_seed,http://www.wikidata.org/entity/Q311480,Q311480,Abbé Prévost,Q36180,écrivain ou écrivaine,https://www.wikidata.org/wiki/Q36180,True,False,Writing / Literature,Literary and textual production,suggested,exact_qid:writer
french_seed,http://www.wikidata.org/entity/Q2820884,Q2820884,Abbé de La Marre,Q2490358,chorégraphe,https://www.wikidata.org/wiki/Q2490358,False,True,Music / Performance / Theatre,Arts and performance,suggested,label_rule:choregraphe
french_seed,http://www.wikidata.org/entity/Q2820884,Q2820884,Abbé de La Marre,Q214917,dramaturge,https://www.wikidata.org/wiki/Q214917,True,False,Writing / Literature,Literary and textual production,suggested,exact_qid:playwright
french_seed,http://www.wikidata.org/entity/Q2820884,Q2820884,Abbé de La Marre,Q8178443,librettiste,https://www.wikidata.org/wiki/Q8178443,True,False,Writing / Literature,Literary and textual production,suggested,exact_qid:librettist
french_seed,http://www.wikidata.org/entity/Q206191,Q206191,Abigail Adams,Q82955,personnalité politique,https://www.wikidata.org/wiki/Q82955,False,True,Politics / Statecraft / Diplomacy,Institutional power,suggested,exact_qid:politician
french_seed,http://www.wikidata.org/entity/Q206191,Q206191,Abigail Adams,Q36180,écrivain ou écrivaine,https://www.wikidata.org/wiki/Q36180,True,False,Writing / Literature,Literary and textual production,suggested,exact_qid:writer
french_seed,http://www.wikidata.org/entity/Q330879,Q330879,Abraham von Humbert,Q81096,ingénieur,https://www.wikidata.org/wiki/Q81096,False,True,Engineering / Technology,Scientific knowledge,suggested,label_rule:ingenieur
french_seed,http://www.wikidata.org/entity/Q330879,Q330879,Abraham von Humbert,Q11545923,commandant,https://www.wikidata.org/wiki/Q11545923,False,True,Military,Institutional power,suggested,label_rule:commandant
